Ski_Season,Date,Rolling_7_Day_Avg
2009/10,2010-01-01,7.0
2009/10,2010-01-02,9.0
2009/10,2010-01-03,7.666666666666667
2009/10,2010-01-04,6.0
2009/10,2010-01-05,5.0
2009/10,2010-01-06,4.833333333333333
2009/10,2010-01-07,4.857142857142857
2009/10,2010-01-08,4.142857142857143
2009/10,2010-01-09,2.7142857142857144
2009/10,2010-01-10,2.4285714285714284
2009/10,2010-01-11,2.4285714285714284
2009/10,2010-01-18,2.5714285714285716
2009/10,2010-01-19,2.5714285714285716
2009/10,2010-01-20,2.5714285714285716
2009/10,2010-01-21,3.4285714285714284
2009/10,2010-01-22,4.285714285714286
2009/10,2010-01-23,8.142857142857142
2009/10,2010-01-24,10.714285714285714
2009/10,2010-01-25,11.714285714285714
2009/10,2010-01-27,12.142857142857142
2009/10,2010-01-28,12.142857142857142
2009/10,2010-01-29,11.571428571428571
2009/10,2010-01-30,11.285714285714286
2009/10,2010-01-31,7.714285714285714
2009/10,2010-02-01,5.571428571428571
2009/10,2010-02-02,4.571428571428571
2009/10,2010-02-03,4.142857142857143
2009/10,2010-02-04,3.7142857142857144
2009/10,2010-02-05,3.2857142857142856
2009/10,2010-02-06,3.142857142857143
2009/10,2010-02-07,4.0
2009/10,2010-02-11,3.857142857142857
2009/10,2010-02-12,4.428571428571429
2009/10,2010-02-13,6.428571428571429
2009/10,2010-02-14,9.142857142857142
2009/10,2010-02-15,10.285714285714286
2009/10,2010-02-16,11.285714285714286
2009/10,2010-02-17,10.714285714285714
2009/10,2010-02-18,11.285714285714286
2009/10,2010-02-19,12.285714285714286
2009/10,2010-02-20,12.0
2009/10,2010-02-21,12.571428571428571
2009/10,2010-02-22,13.428571428571429
2009/10,2010-02-23,13.0
2009/10,2010-02-24,12.857142857142858
2009/10,2010-02-25,13.0
2009/10,2010-02-26,14.428571428571429
2009/10,2010-02-27,13.571428571428571
2009/10,2010-02-28,11.142857142857142
2009/10,2010-03-01,9.571428571428571
2009/10,2010-03-03,8.857142857142858
2009/10,2010-03-05,9.571428571428571
2009/10,2010-03-06,10.0
2009/10,2010-03-07,7.714285714285714
2009/10,2010-03-08,6.714285714285714
2009/10,2010-03-09,6.142857142857143
2009/10,2010-03-10,5.714285714285714
2009/10,2010-03-11,5.714285714285714
2009/10,2010-03-12,4.571428571428571
2009/10,2010-03-13,3.2857142857142856
2009/10,2010-03-14,2.857142857142857
2009/10,2010-03-16,2.5714285714285716
2009/10,2010-03-17,3.0
2009/10,2010-03-18,3.0
2009/10,2010-03-19,2.7142857142857144
2009/10,2010-03-27,2.5714285714285716
2009/10,2010-03-31,2.7142857142857144
2009/10,2010-04-01,2.857142857142857
2009/10,2010-04-02,3.142857142857143
2009/10,2010-04-03,4.428571428571429
2009/10,2010-04-04,4.857142857142857
2009/10,2010-04-06,5.571428571428571
2009/10,2010-04-07,6.0
2009/10,2010-04-10,6.0
2009/10,2010-04-14,5.428571428571429
2009/10,2010-04-15,5.285714285714286
2009/10,2010-04-29,3.142857142857143
2009/10,2010-05-24,2.7142857142857144
2010/11,2010-11-11,1.0
2010/11,2010-11-15,1.0
2010/11,2010-11-16,2.3333333333333335
2010/11,2010-11-18,2.0
2010/11,2010-11-20,2.0
2010/11,2010-11-21,3.5
2010/11,2010-11-22,3.142857142857143
2010/11,2010-11-23,3.2857142857142856
2010/11,2010-11-24,3.2857142857142856
2010/11,2010-11-25,2.7142857142857144
2010/11,2010-11-26,2.7142857142857144
2010/11,2010-11-28,3.0
2010/11,2010-11-29,2.0
2010/11,2010-12-01,2.0
2010/11,2010-12-02,1.8571428571428572
2010/11,2010-12-03,1.8571428571428572
2010/11,2010-12-07,2.142857142857143
2010/11,2010-12-08,2.142857142857143
2010/11,2010-12-10,2.142857142857143
2010/11,2010-12-11,1.7142857142857142
2010/11,2010-12-12,1.8571428571428572
2010/11,2010-12-15,1.8571428571428572
2010/11,2010-12-16,1.8571428571428572
2010/11,2010-12-17,1.5714285714285714
2010/11,2010-12-18,2.0
2010/11,2010-12-19,3.142857142857143
2010/11,2010-12-20,3.857142857142857
2010/11,2010-12-21,3.857142857142857
2010/11,2010-12-22,5.857142857142857
2010/11,2010-12-23,6.857142857142857
2010/11,2010-12-24,7.0
2010/11,2010-12-25,6.714285714285714
2010/11,2010-12-26,5.285714285714286
2010/11,2010-12-27,4.857142857142857
2010/11,2010-12-28,4.714285714285714
2010/11,2010-12-29,5.285714285714286
2010/11,2010-12-30,5.428571428571429
2010/11,2010-12-31,6.571428571428571
2010/11,2011-01-01,6.714285714285714
2010/11,2011-01-02,6.857142857142857
2010/11,2011-01-05,6.571428571428571
2010/11,2011-01-06,6.714285714285714
2010/11,2011-01-09,4.285714285714286
2010/11,2011-01-11,3.2857142857142856
2010/11,2011-01-12,2.0
2010/11,2011-01-13,1.7142857142857142
2010/11,2011-01-14,2.5714285714285716
2010/11,2011-01-15,3.0
2010/11,2011-01-16,3.142857142857143
2010/11,2011-01-17,4.714285714285714
2010/11,2011-01-19,4.714285714285714
2010/11,2011-01-20,4.857142857142857
2010/11,2011-01-21,5.285714285714286
2010/11,2011-01-22,5.285714285714286
2010/11,2011-01-23,5.428571428571429
2010/11,2011-01-24,5.285714285714286
2010/11,2011-01-26,3.857142857142857
2010/11,2011-01-27,4.0
2010/11,2011-01-28,4.0
2010/11,2011-01-29,3.5714285714285716
2010/11,2011-01-30,2.4285714285714284
2010/11,2011-02-01,1.8571428571428572
2010/11,2011-02-03,2.2857142857142856
2010/11,2011-02-05,2.2857142857142856
2010/11,2011-02-06,2.2857142857142856
2010/11,2011-02-07,2.142857142857143
2010/11,2011-02-08,2.7142857142857144
2010/11,2011-02-09,2.7142857142857144
2010/11,2011-02-10,2.7142857142857144
2010/11,2011-02-13,2.2857142857142856
2010/11,2011-02-14,2.2857142857142856
2010/11,2011-02-16,2.0
2010/11,2011-02-17,2.0
2010/11,2011-02-18,1.4285714285714286
2010/11,2011-02-19,2.0
2010/11,2011-02-20,4.142857142857143
2010/11,2011-02-21,4.285714285714286
2010/11,2011-02-22,4.428571428571429
2010/11,2011-02-23,4.714285714285714
2010/11,2011-02-24,4.857142857142857
2010/11,2011-02-25,4.857142857142857
2010/11,2011-02-26,5.285714285714286
2010/11,2011-02-27,3.857142857142857
2010/11,2011-02-28,5.0
2010/11,2011-03-01,4.857142857142857
2010/11,2011-03-02,4.857142857142857
2010/11,2011-03-03,4.714285714285714
2010/11,2011-03-04,4.857142857142857
2010/11,2011-03-05,4.285714285714286
2010/11,2011-03-06,3.857142857142857
2010/11,2011-03-07,3.0
2010/11,2011-03-08,3.857142857142857
2010/11,2011-03-09,4.285714285714286
2010/11,2011-03-10,4.857142857142857
2010/11,2011-03-11,5.428571428571429
2010/11,2011-03-12,5.142857142857143
2010/11,2011-03-13,5.142857142857143
2010/11,2011-03-15,4.571428571428571
2010/11,2011-03-16,4.142857142857143
2010/11,2011-03-17,4.0
2010/11,2011-03-18,3.5714285714285716
2010/11,2011-03-19,3.142857142857143
2010/11,2011-03-20,3.7142857142857144
2010/11,2011-03-21,3.4285714285714284
2010/11,2011-03-22,4.714285714285714
2010/11,2011-03-23,4.0
2010/11,2011-03-24,3.4285714285714284
2010/11,2011-03-25,3.7142857142857144
2010/11,2011-03-26,4.0
2010/11,2011-03-27,3.857142857142857
2010/11,2011-03-28,3.857142857142857
2010/11,2011-03-29,3.142857142857143
2010/11,2011-03-31,3.857142857142857
2010/11,2011-04-01,3.857142857142857
2010/11,2011-04-02,3.4285714285714284
2010/11,2011-04-04,3.0
2010/11,2011-04-06,2.4285714285714284
2010/11,2011-04-08,2.7142857142857144
2010/11,2011-04-09,2.2857142857142856
2010/11,2011-04-10,2.2857142857142856
2010/11,2011-04-11,2.4285714285714284
2010/11,2011-04-14,2.857142857142857
2010/11,2011-04-16,2.7142857142857144
2010/11,2011-04-18,3.0
2010/11,2011-04-19,3.2857142857142856
2010/11,2011-04-20,3.142857142857143
2010/11,2011-04-21,2.4285714285714284
2010/11,2011-04-22,3.0
2010/11,2011-04-26,3.2857142857142856
2010/11,2011-04-27,4.0
2010/11,2011-04-30,3.7142857142857144
2010/11,2011-05-11,3.142857142857143
2010/11,2011-05-17,3.142857142857143
2010/11,2011-05-19,3.142857142857143
2010/11,2011-05-20,2.5714285714285716
2010/11,2011-06-02,1.8571428571428572
2010/11,2011-06-20,1.2857142857142858
2010/11,2011-06-21,1.2857142857142858
2011/12,2011-11-06,1.0
2011/12,2011-11-07,1.0
2011/12,2011-11-11,1.0
2011/12,2011-11-12,1.75
2011/12,2011-11-13,5.0
2011/12,2011-11-14,4.5
2011/12,2011-11-19,4.285714285714286
2011/12,2011-11-20,4.571428571428571
2011/12,2011-11-22,4.571428571428571
2011/12,2011-11-25,4.571428571428571
2011/12,2011-12-13,4.142857142857143
2011/12,2011-12-14,1.7142857142857142
2011/12,2011-12-16,1.5714285714285714
2011/12,2011-12-17,1.4285714285714286
2011/12,2011-12-22,1.2857142857142858
2011/12,2011-12-23,1.4285714285714286
2011/12,2011-12-26,1.7142857142857142
2011/12,2011-12-27,1.7142857142857142
2011/12,2011-12-29,1.7142857142857142
2011/12,2011-12-30,1.8571428571428572
2011/12,2011-12-31,2.2857142857142856
2011/12,2012-01-01,2.2857142857142856
2011/12,2012-01-02,2.7142857142857144
2011/12,2012-01-03,2.5714285714285716
2011/12,2012-01-05,2.5714285714285716
2011/12,2012-01-08,2.5714285714285716
2011/12,2012-01-09,2.5714285714285716
2011/12,2012-01-11,2.0
2011/12,2012-01-15,2.0
2011/12,2012-01-17,1.4285714285714286
2011/12,2012-01-18,1.2857142857142858
2011/12,2012-01-19,3.857142857142857
2011/12,2012-01-20,7.857142857142857
2011/12,2012-01-21,10.571428571428571
2011/12,2012-01-22,14.571428571428571
2011/12,2012-01-23,14.857142857142858
2011/12,2012-01-24,15.285714285714286
2011/12,2012-01-25,15.428571428571429
2011/12,2012-01-26,13.0
2011/12,2012-01-27,9.857142857142858
2011/12,2012-01-28,7.714285714285714
2011/12,2012-01-29,4.285714285714286
2011/12,2012-02-03,4.285714285714286
2011/12,2012-02-04,4.0
2011/12,2012-02-05,3.857142857142857
2011/12,2012-02-10,3.7142857142857144
2011/12,2012-02-11,2.857142857142857
2011/12,2012-02-12,2.5714285714285716
2011/12,2012-02-13,2.142857142857143
2011/12,2012-02-15,1.7142857142857142
2011/12,2012-02-16,1.5714285714285714
2011/12,2012-02-18,1.5714285714285714
2011/12,2012-02-19,1.8571428571428572
2011/12,2012-02-20,2.2857142857142856
2011/12,2012-02-21,1.8571428571428572
2011/12,2012-02-22,2.4285714285714284
2011/12,2012-02-23,3.857142857142857
2011/12,2012-02-24,6.0
2011/12,2012-02-25,6.428571428571429
2011/12,2012-02-26,6.571428571428571
2011/12,2012-02-27,6.142857142857143
2011/12,2012-02-28,7.0
2011/12,2012-02-29,6.571428571428571
2011/12,2012-03-01,7.285714285714286
2011/12,2012-03-02,7.857142857142857
2011/12,2012-03-03,9.428571428571429
2011/12,2012-03-04,13.428571428571429
2011/12,2012-03-05,14.0
2011/12,2012-03-08,13.571428571428571
2011/12,2012-03-09,13.285714285714286
2011/12,2012-03-10,11.142857142857142
2011/12,2012-03-11,8.428571428571429
2011/12,2012-03-12,6.428571428571429
2011/12,2012-03-13,2.0
2011/12,2012-03-14,1.7142857142857142
2011/12,2012-03-15,1.7142857142857142
2011/12,2012-03-16,1.7142857142857142
2011/12,2012-03-17,1.7142857142857142
2011/12,2012-03-19,1.8571428571428572
2011/12,2012-03-20,1.8571428571428572
2011/12,2012-03-30,1.8571428571428572
2011/12,2012-03-31,1.5714285714285714
2011/12,2012-04-02,1.4285714285714286
2011/12,2012-04-07,1.5714285714285714
2011/12,2012-04-08,1.7142857142857142
2011/12,2012-04-12,1.5714285714285714
2011/12,2012-04-13,1.7142857142857142
2011/12,2012-04-14,1.7142857142857142
2011/12,2012-04-15,1.8571428571428572
2011/12,2012-04-16,1.5714285714285714
2011/12,2012-04-17,1.4285714285714286
2011/12,2012-04-20,1.2857142857142858
2011/12,2012-04-21,1.2857142857142858
2011/12,2012-04-22,1.2857142857142858
2011/12,2012-04-23,1.7142857142857142
2011/12,2012-04-24,1.5714285714285714
2011/12,2012-04-27,1.5714285714285714
2011/12,2012-04-29,1.5714285714285714
2011/12,2012-05-03,1.5714285714285714
2011/12,2012-05-05,1.5714285714285714
2012/13,2012-11-09,1.0
2012/13,2012-11-10,2.0
2012/13,2012-11-11,2.6666666666666665
2012/13,2012-11-12,2.25
2012/13,2012-11-29,2.0
2012/13,2012-12-04,1.8333333333333333
2012/13,2012-12-08,1.8571428571428572
2012/13,2012-12-09,2.0
2012/13,2012-12-10,1.7142857142857142
2012/13,2012-12-11,1.4285714285714286
2012/13,2012-12-12,1.4285714285714286
2012/13,2012-12-13,1.4285714285714286
2012/13,2012-12-14,1.7142857142857142
2012/13,2012-12-15,1.7142857142857142
2012/13,2012-12-16,1.5714285714285714
2012/13,2012-12-17,2.4285714285714284
2012/13,2012-12-18,3.0
2012/13,2012-12-19,3.0
2012/13,2012-12-20,3.5714285714285716
2012/13,2012-12-21,3.5714285714285716
2012/13,2012-12-22,3.5714285714285716
2012/13,2012-12-23,3.7142857142857144
2012/13,2012-12-24,2.857142857142857
2012/13,2012-12-26,2.4285714285714284
2012/13,2012-12-27,3.142857142857143
2012/13,2012-12-28,3.2857142857142856
2012/13,2012-12-29,3.0
2012/13,2012-12-31,2.857142857142857
2012/13,2013-01-01,2.857142857142857
2012/13,2013-01-02,2.857142857142857
2012/13,2013-01-03,2.5714285714285716
2012/13,2013-01-09,2.2857142857142856
2012/13,2013-01-11,2.142857142857143
2012/13,2013-01-12,3.142857142857143
2012/13,2013-01-13,3.4285714285714284
2012/13,2013-01-15,3.5714285714285716
2012/13,2013-01-16,3.5714285714285716
2012/13,2013-01-17,3.5714285714285716
2012/13,2013-01-18,3.2857142857142856
2012/13,2013-01-23,2.857142857142857
2012/13,2013-01-24,2.0
2012/13,2013-01-25,2.4285714285714284
2012/13,2013-01-26,2.4285714285714284
2012/13,2013-01-27,2.5714285714285716
2012/13,2013-01-28,2.857142857142857
2012/13,2013-01-30,3.0
2012/13,2013-01-31,3.2857142857142856
2012/13,2013-02-01,4.714285714285714
2012/13,2013-02-02,5.428571428571429
2012/13,2013-02-03,6.142857142857143
2012/13,2013-02-05,6.142857142857143
2012/13,2013-02-10,5.857142857142857
2012/13,2013-02-11,5.571428571428571
2012/13,2013-02-12,5.142857142857143
2012/13,2013-02-13,3.5714285714285716
2012/13,2013-02-14,2.2857142857142856
2012/13,2013-02-15,1.4285714285714286
2012/13,2013-02-16,1.5714285714285714
2012/13,2013-02-17,1.8571428571428572
2012/13,2013-02-19,2.142857142857143
2012/13,2013-02-21,2.142857142857143
2012/13,2013-02-23,2.2857142857142856
2012/13,2013-02-24,2.857142857142857
2012/13,2013-02-25,3.142857142857143
2012/13,2013-02-26,2.857142857142857
2012/13,2013-02-28,2.5714285714285716
2012/13,2013-03-01,2.2857142857142856
2012/13,2013-03-02,2.5714285714285716
2012/13,2013-03-03,3.2857142857142856
2012/13,2013-03-04,3.4285714285714284
2012/13,2013-03-05,3.2857142857142856
2012/13,2013-03-06,3.2857142857142856
2012/13,2013-03-08,3.5714285714285716
2012/13,2013-03-09,4.0
2012/13,2013-03-10,4.571428571428571
2012/13,2013-03-11,3.7142857142857144
2012/13,2013-03-12,2.857142857142857
2012/13,2013-03-13,2.857142857142857
2012/13,2013-03-14,3.0
2012/13,2013-03-15,4.142857142857143
2012/13,2013-03-16,3.7142857142857144
2012/13,2013-03-18,3.0
2012/13,2013-03-20,3.0
2012/13,2013-03-21,3.5714285714285716
2012/13,2013-03-22,3.2857142857142856
2012/13,2013-03-23,4.428571428571429
2012/13,2013-03-24,3.2857142857142856
2012/13,2013-03-25,3.4285714285714284
2012/13,2013-03-26,3.2857142857142856
2012/13,2013-04-02,3.7142857142857144
2012/13,2013-04-03,3.142857142857143
2012/13,2013-04-04,3.142857142857143
2012/13,2013-04-09,2.2857142857142856
2012/13,2013-04-10,2.0
2012/13,2013-04-11,2.142857142857143
2012/13,2013-04-18,2.2857142857142856
2012/13,2013-04-20,2.4285714285714284
2012/13,2013-04-21,2.7142857142857144
2012/13,2013-04-27,2.7142857142857144
2012/13,2013-04-28,2.2857142857142856
2012/13,2013-05-02,2.2857142857142856
2012/13,2013-05-05,2.142857142857143
2012/13,2013-05-14,2.0
2012/13,2013-05-16,1.4285714285714286
2012/13,2013-05-19,1.1428571428571428
2013/14,2013-10-29,4.0
2013/14,2013-11-06,2.5
2013/14,2013-11-16,3.0
2013/14,2013-11-17,4.5
2013/14,2013-11-22,4.2
2013/14,2013-11-23,3.8333333333333335
2013/14,2013-11-24,3.5714285714285716
2013/14,2013-12-03,4.285714285714286
2013/14,2013-12-04,4.428571428571429
2013/14,2013-12-05,4.142857142857143
2013/14,2013-12-06,3.2857142857142856
2013/14,2013-12-07,4.0
2013/14,2013-12-08,5.285714285714286
2013/14,2013-12-09,5.857142857142857
2013/14,2013-12-10,5.0
2013/14,2013-12-11,5.0
2013/14,2013-12-14,5.142857142857143
2013/14,2013-12-15,4.857142857142857
2013/14,2013-12-19,4.857142857142857
2013/14,2013-12-20,4.428571428571429
2013/14,2013-12-21,4.285714285714286
2013/14,2013-12-22,4.0
2013/14,2013-12-24,5.142857142857143
2013/14,2013-12-25,5.0
2013/14,2013-12-26,5.0
2013/14,2013-12-27,4.285714285714286
2013/14,2014-01-05,3.2857142857142856
2013/14,2014-01-06,2.7142857142857144
2013/14,2014-01-09,3.4285714285714284
